Age_Range,Age_Guess,Degree,Job_Title,Coding_Years,ML_Years,ML_Years_Guess,Salary_Range,Salary_Guess
25-29,29,Master's degree,Machine Learning Engineer,3-5 years,3-4 years,4,"100,000-124,999",110565
25-29,29,Master's degree,Data Engineer,3-5 years,I do not use machine learning methods,0,"100,000-124,999",112831
25-29,29,Master's degree,Data Scientist,3-5 years,2-3 years,2,"100,000-124,999",113026
25-29,29,Bachelor's degree,Data Analyst,5-10 years,I do not use machine learning methods,0,"100,000-124,999",114598
25-29,29,Bachelor's degree,Data Analyst,1-2 years,1-2 years,2,"100,000-124,999",117241
25-29,29,Master's degree,Data Scientist,5-10 years,4-5 years,4,"100,000-124,999",119311
25-29,29,Master's degree,Data Scientist,5-10 years,5-10 years,9,"100,000-124,999",121112
25-29,29,Master's degree,Software Engineer,3-5 years,I do not use machine learning methods,0,"100,000-124,999",121143
25-29,29,Bachelor's degree,Data Scientist,5-10 years,4-5 years,5,"100,000-124,999",122954
25-29,26,Doctoral degree,Research Scientist,10-20 years,5-10 years,9,"125,000-149,999",134597
25-29,27,Master's degree,Data Scientist,3-5 years,3-4 years,3,"125,000-149,999",128127
25-29,27,Master's degree,Data Scientist,3-5 years,2-3 years,2,"125,000-149,999",137861
25-29,28,Master's degree,Data Scientist,5-10 years,4-5 years,5,"125,000-149,999",130051
25-29,28,Bachelor's degree,Data Scientist,3-5 years,2-3 years,3,"125,000-149,999",131535
25-29,28,Bachelor's degree,Software Engineer,3-5 years,I do not use machine learning methods,0,"125,000-149,999",132012
25-29,28,Bachelor's degree,Other,1-2 years,Under 1 year,0.7,"125,000-149,999",132262
25-29,29,Master's degree,Machine Learning Engineer,3-5 years,2-3 years,3,"125,000-149,999",130445
25-29,29,Bachelor's degree,Machine Learning Engineer,3-5 years,1-2 years,1,"125,000-149,999",132316
25-29,29,Master's degree,Data Scientist,5-10 years,2-3 years,2,"125,000-149,999",146679
25-29,25,Doctoral degree,Statistician,5-10 years,4-5 years,4,"15,000-19,999",15497
25-29,25,Master's degree,Data Analyst,< 1 years,Under 1 year,0.7,"15,000-19,999",19858
25-29,27,Doctoral degree,Data Scientist,5-10 years,1-2 years,2,"15,000-19,999",17959
25-29,27,Doctoral degree,Machine Learning Engineer,3-5 years,3-4 years,3,"15,000-19,999",19259
25-29,28,Doctoral degree,Other,3-5 years,Under 1 year,0.5,"15,000-19,999",15612
25-29,28,Master's degree,Other,3-5 years,1-2 years,1,"15,000-19,999",16326
25-29,28,Bachelor's degree,Software Engineer,1-2 years,Under 1 year,0.8,"15,000-19,999",19831
25-29,25,Master's degree,Data Scientist,10-20 years,4-5 years,5,"150,000-199,999",151762
25-29,26,Master's degree,Machine Learning Engineer,5-10 years,4-5 years,5,"150,000-199,999",175994
25-29,26,Master's degree,Data Scientist,3-5 years,4-5 years,4,"150,000-199,999",191084
25-29,27,Master's degree,Machine Learning Engineer,5-10 years,3-4 years,3,"150,000-199,999",155049
25-29,27,Master's degree,Data Scientist,5-10 years,3-4 years,3,"150,000-199,999",155658
25-29,27,Bachelor's degree,Data Scientist,5-10 years,2-3 years,2,"150,000-199,999",164153
25-29,27,Bachelor's degree,Software Engineer,5-10 years,5-10 years,10,"150,000-199,999",170880
25-29,27,Bachelor's degree,Data Scientist,5-10 years,5-10 years,5,"150,000-199,999",180523
25-29,27,Bachelor's degree,Data Scientist,1-2 years,1-2 years,2,"150,000-199,999",195630
25-29,28,Doctoral degree,Research Scientist,3-5 years,3-4 years,4,"150,000-199,999",154711
25-29,28,Master's degree,Research Scientist,5-10 years,5-10 years,8,"150,000-199,999",165261
25-29,28,Bachelor's degree,Machine Learning Engineer,1-2 years,1-2 years,2,"150,000-199,999",176710
25-29,28,Master's degree,Product/Project Manager,5-10 years,5-10 years,5,"150,000-199,999",181171
25-29,28,Bachelor's degree,Software Engineer,5-10 years,2-3 years,2,"150,000-199,999",189433
25-29,28,Doctoral degree,Research Scientist,5-10 years,4-5 years,5,"150,000-199,999",192992
25-29,29,Master's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,"150,000-199,999",156648
25-29,29,Bachelor's degree,Machine Learning Engineer,5-10 years,4-5 years,5,"150,000-199,999",170461
25-29,29,Master's degree,Machine Learning Engineer,5-10 years,5-10 years,6,"150,000-199,999",180882
25-29,29,Master's degree,Research Scientist,5-10 years,5-10 years,9,"150,000-199,999",182845
25-29,26,Master's degree,Machine Learning Engineer,3-5 years,4-5 years,5,"20,000-24,999",20729
25-29,29,Master's degree,Other,1-2 years,Under 1 year,0.4,"20,000-24,999",20287
25-29,25,Master's degree,Data Scientist,5-10 years,3-4 years,4,"200,000-249,999",232212
25-29,26,Master's degree,Machine Learning Engineer,5-10 years,4-5 years,4,"200,000-249,999",216568
25-29,26,Master's degree,Software Engineer,5-10 years,1-2 years,1,"200,000-249,999",224859
25-29,26,Master's degree,Other,3-5 years,2-3 years,2,"200,000-249,999",228580
25-29,26,Master's degree,Data Scientist,5-10 years,5-10 years,7,"200,000-249,999",239122
25-29,27,Bachelor's degree,Data Engineer,5-10 years,I do not use machine learning methods,0,"200,000-249,999",233153
25-29,29,Doctoral degree,Data Scientist,5-10 years,5-10 years,9,"200,000-249,999",239420
25-29,25,Bachelor's degree,Business Analyst,1-2 years,Under 1 year,0.7,"25,000-29,999",26697
25-29,25,Master's degree,Other,I have never written code,,,"25,000-29,999",26946
25-29,25,Master's degree,Data Analyst,3-5 years,2-3 years,2,"25,000-29,999",27245
25-29,28,Doctoral degree,Research Scientist,1-2 years,Under 1 year,0.0,"25,000-29,999",29055
25-29,25,Bachelor's degree,Data Analyst,3-5 years,1-2 years,2,"3,000-3,999",3654
25-29,26,Master's degree,Data Analyst,1-2 years,Under 1 year,1.0,"30,000-39,999",38374
25-29,26,Doctoral degree,Research Scientist,1-2 years,Under 1 year,0.5,"30,000-39,999",38528
25-29,27,Bachelor's degree,Other,1-2 years,Under 1 year,0.8,"30,000-39,999",34204
25-29,27,Bachelor's degree,Software Engineer,3-5 years,Under 1 year,0.4,"30,000-39,999",34553
25-29,28,Bachelor's degree,Other,< 1 years,Under 1 year,0.2,"30,000-39,999",30694
25-29,28,Bachelor's degree,Other,3-5 years,Under 1 year,0.8,"30,000-39,999",37815
25-29,28,Bachelor's degree,Other,1-2 years,I do not use machine learning methods,0,"30,000-39,999",38164
25-29,29,Bachelor's degree,Product/Project Manager,3-5 years,3-4 years,3,"30,000-39,999",30287
25-29,29,Bachelor's degree,Other,< 1 years,Under 1 year,0.9,"30,000-39,999",36043
25-29,27,Bachelor's degree,Statistician,10-20 years,4-5 years,5,"300,000-500,000",411263
25-29,29,Master's degree,Software Engineer,10-20 years,I do not use machine learning methods,0,"300,000-500,000",480055
25-29,28,Bachelor's degree,Research Scientist,3-5 years,2-3 years,3,"4,000-4,999",4000
25-29,25,Bachelor's degree,Data Analyst,1-2 years,Under 1 year,0.6,"40,000-49,999",42810
25-29,26,Bachelor's degree,Data Scientist,3-5 years,3-4 years,3,"40,000-49,999",41872
25-29,26,Some college/university study without earning a bachelor's degree,Other,1-2 years,1-2 years,2,"40,000-49,999",44433
25-29,27,Bachelor's degree,Other,I have never written code,,,"40,000-49,999",42537
25-29,27,Some college/university study without earning a bachelor's degree,Other,5-10 years,Under 1 year,0.5,"40,000-49,999",43656
25-29,27,Master's degree,Software Engineer,5-10 years,4-5 years,5,"40,000-49,999",46741
25-29,27,Bachelor's degree,Other,1-2 years,Under 1 year,0.2,"40,000-49,999",49643
25-29,28,Master's degree,Business Analyst,1-2 years,Under 1 year,0.6,"40,000-49,999",49602
25-29,25,Master's degree,Software Engineer,5-10 years,1-2 years,1,"50,000-59,999",56423
25-29,25,Master's degree,Software Engineer,3-5 years,2-3 years,3,"50,000-59,999",59828
25-29,26,Doctoral degree,Research Scientist,3-5 years,1-2 years,2,"50,000-59,999",52850
25-29,26,Bachelor's degree,Other,1-2 years,Under 1 year,0.3,"50,000-59,999",55251
25-29,26,Bachelor's degree,Software Engineer,5-10 years,Under 1 year,0.3,"50,000-59,999",55926
25-29,27,Bachelor's degree,Business Analyst,< 1 years,1-2 years,1,"50,000-59,999",51222
25-29,27,Doctoral degree,Other,< 1 years,Under 1 year,0.0,"50,000-59,999",58974
25-29,28,Bachelor's degree,Data Analyst,< 1 years,I do not use machine learning methods,0,"50,000-59,999",51396
25-29,29,Master's degree,Data Scientist,5-10 years,3-4 years,3,"50,000-59,999",52511
25-29,25,Bachelor's degree,Data Engineer,1-2 years,Under 1 year,0.0,"60,000-69,999",60071
25-29,25,Master's degree,Business Analyst,1-2 years,Under 1 year,0.9,"60,000-69,999",62450
25-29,25,Master's degree,Data Analyst,3-5 years,1-2 years,2,"60,000-69,999",65525
25-29,25,Master's degree,Other,3-5 years,Under 1 year,0.5,"60,000-69,999",65834
25-29,26,Bachelor's degree,Other,3-5 years,I do not use machine learning methods,0,"60,000-69,999",65236
25-29,27,Bachelor's degree,Statistician,1-2 years,1-2 years,2,"60,000-69,999",62780
25-29,27,Bachelor's degree,Software Engineer,3-5 years,3-4 years,4,"60,000-69,999",64643
25-29,27,Master's degree,Software Engineer,10-20 years,1-2 years,2,"60,000-69,999",67012
25-29,28,Master's degree,DBA/Database Engineer,5-10 years,2-3 years,2,"60,000-69,999",61414
25-29,28,Master's degree,Data Analyst,3-5 years,1-2 years,1,"60,000-69,999",67344
25-29,28,Master's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,"60,000-69,999",69893
25-29,29,Master's degree,Business Analyst,< 1 years,I do not use machine learning methods,0,"60,000-69,999",63686
25-29,29,Bachelor's degree,Data Scientist,1-2 years,1-2 years,1,"60,000-69,999",67331
25-29,29,Bachelor's degree,Other,3-5 years,3-4 years,3,"60,000-69,999",69577
25-29,25,Master's degree,Data Scientist,3-5 years,2-3 years,2,"70,000-79,999",73185
25-29,25,Master's degree,Research Scientist,3-5 years,Under 1 year,0.7,"70,000-79,999",76020
25-29,25,Bachelor's degree,Other,< 1 years,I do not use machine learning methods,0,"70,000-79,999",76981
25-29,26,Master's degree,Data Analyst,3-5 years,Under 1 year,0.9,"70,000-79,999",73275
25-29,26,Master's degree,Data Scientist,5-10 years,2-3 years,2,"70,000-79,999",73712
25-29,26,Professional degree,Data Scientist,5-10 years,1-2 years,1,"70,000-79,999",75296
25-29,26,Bachelor's degree,Data Analyst,3-5 years,Under 1 year,0.8,"70,000-79,999",79115
25-29,27,Master's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,"70,000-79,999",70570
25-29,27,Bachelor's degree,Business Analyst,1-2 years,I do not use machine learning methods,0,"70,000-79,999",71081
25-29,27,Master's degree,Data Analyst,3-5 years,2-3 years,3,"70,000-79,999",73387
25-29,27,Master's degree,Data Scientist,3-5 years,2-3 years,2,"70,000-79,999",78941
25-29,27,Master's degree,Software Engineer,3-5 years,Under 1 year,0.7,"70,000-79,999",79206
25-29,28,Bachelor's degree,Data Scientist,5-10 years,2-3 years,3,"70,000-79,999",73668
25-29,28,Master's degree,Data Analyst,3-5 years,2-3 years,2,"70,000-79,999",75410
25-29,28,Master's degree,Data Scientist,3-5 years,2-3 years,2,"70,000-79,999",78373
25-29,28,Master's degree,Data Analyst,3-5 years,Under 1 year,0.7,"70,000-79,999",78835
25-29,28,Doctoral degree,Research Scientist,5-10 years,4-5 years,5,"70,000-79,999",79278
25-29,29,Master's degree,Machine Learning Engineer,3-5 years,2-3 years,3,"70,000-79,999",75350
25-29,29,Master's degree,Data Engineer,3-5 years,1-2 years,1,"70,000-79,999",76861
25-29,29,Bachelor's degree,Other,3-5 years,Under 1 year,0.9,"70,000-79,999",77130
25-29,25,Bachelor's degree,Data Scientist,5-10 years,3-4 years,4,"80,000-89,999",83618
25-29,25,Master's degree,Data Scientist,5-10 years,2-3 years,3,"80,000-89,999",84721
25-29,25,Master's degree,Data Scientist,10-20 years,3-4 years,4,"80,000-89,999",85018
25-29,25,Master's degree,Business Analyst,1-2 years,I do not use machine learning methods,0,"80,000-89,999",85096
25-29,26,Bachelor's degree,Data Scientist,3-5 years,2-3 years,2,"80,000-89,999",86567
25-29,26,Bachelor's degree,Data Analyst,3-5 years,2-3 years,3,"80,000-89,999",89063
25-29,27,Master's degree,Statistician,3-5 years,Under 1 year,0.3,"80,000-89,999",80266
25-29,27,Master's degree,Data Scientist,5-10 years,3-4 years,4,"80,000-89,999",89252
25-29,28,Master's degree,Data Analyst,3-5 years,3-4 years,3,"80,000-89,999",81670
25-29,28,Master's degree,Research Scientist,3-5 years,1-2 years,2,"80,000-89,999",85404
25-29,28,Master's degree,Product/Project Manager,I have never written code,,,"80,000-89,999",88627
25-29,29,Doctoral degree,Machine Learning Engineer,3-5 years,1-2 years,2,"80,000-89,999",80009
25-29,29,Master's degree,Data Engineer,3-5 years,1-2 years,1,"80,000-89,999",80382
25-29,29,Bachelor's degree,Data Scientist,1-2 years,1-2 years,2,"80,000-89,999",83554
25-29,29,Bachelor's degree,Data Engineer,5-10 years,3-4 years,4,"80,000-89,999",86577
25-29,29,Master's degree,Data Analyst,3-5 years,2-3 years,2,"80,000-89,999",87881
25-29,25,Bachelor's degree,Data Scientist,3-5 years,2-3 years,3,"90,000-99,999",90183
25-29,25,Master's degree,Other,3-5 years,3-4 years,4,"90,000-99,999",90559
25-29,25,Bachelor's degree,Data Analyst,5-10 years,1-2 years,2,"90,000-99,999",90822
25-29,25,Doctoral degree,Research Scientist,5-10 years,3-4 years,3,"90,000-99,999",94835
25-29,25,Bachelor's degree,Business Analyst,5-10 years,Under 1 year,0.1,"90,000-99,999",98323
25-29,26,Master's degree,Data Scientist,5-10 years,4-5 years,4,"90,000-99,999",91908
25-29,26,Bachelor's degree,Other,< 1 years,Under 1 year,0.9,"90,000-99,999",92411
25-29,26,Bachelor's degree,Data Analyst,3-5 years,Under 1 year,0.7,"90,000-99,999",92473
25-29,26,Master's degree,Data Analyst,5-10 years,4-5 years,4,"90,000-99,999",94612
25-29,26,Master's degree,Software Engineer,3-5 years,I do not use machine learning methods,0,"90,000-99,999",95414
25-29,26,Master's degree,Software Engineer,5-10 years,Under 1 year,0.8,"90,000-99,999",98295
25-29,27,Master's degree,Data Scientist,5-10 years,4-5 years,5,"90,000-99,999",90125
25-29,27,Doctoral degree,Data Analyst,1-2 years,1-2 years,2,"90,000-99,999",91336
25-29,27,Master's degree,Machine Learning Engineer,3-5 years,4-5 years,4,"90,000-99,999",91394
25-29,27,Master's degree,Data Scientist,3-5 years,1-2 years,1,"90,000-99,999",93801
25-29,27,Master's degree,Machine Learning Engineer,5-10 years,1-2 years,1,"90,000-99,999",96986
25-29,27,Master's degree,Data Scientist,5-10 years,2-3 years,3,"90,000-99,999",98045
25-29,28,Master's degree,Data Scientist,5-10 years,5-10 years,8,"90,000-99,999",95889
25-29,28,Master's degree,Data Engineer,3-5 years,2-3 years,3,"90,000-99,999",96025
25-29,29,Master's degree,Data Scientist,3-5 years,2-3 years,2,"90,000-99,999",92921
25-29,29,Master's degree,Data Analyst,3-5 years,2-3 years,3,"90,000-99,999",94305
25-29,29,Master's degree,Data Analyst,5-10 years,3-4 years,4,"90,000-99,999",94399
25-29,25,Bachelor's degree,Software Engineer,3-5 years,1-2 years,2,,
25-29,25,Bachelor's degree,Student,3-5 years,1-2 years,1,,
25-29,25,Doctoral degree,Student,1-2 years,1-2 years,1,,
25-29,25,Doctoral degree,Student,1-2 years,1-2 years,2,,
25-29,25,I prefer not to answer,Data Analyst,3-5 years,1-2 years,2,,
25-29,25,Master's degree,Student,3-5 years,1-2 years,1,,
25-29,25,Master's degree,Student,10-20 years,1-2 years,2,,
25-29,25,Master's degree,Student,1-2 years,1-2 years,2,,
25-29,25,Master's degree,Student,< 1 years,1-2 years,1,,
25-29,25,Doctoral degree,Student,3-5 years,2-3 years,3,,
25-29,25,Master's degree,Student,5-10 years,2-3 years,3,,
25-29,25,Master's degree,Student,3-5 years,2-3 years,3,,
25-29,25,Master's degree,Student,3-5 years,2-3 years,2,,
25-29,25,Doctoral degree,Student,5-10 years,3-4 years,4,,
25-29,25,Doctoral degree,Student,5-10 years,3-4 years,3,,
25-29,25,Doctoral degree,Student,5-10 years,4-5 years,4,,
25-29,25,Doctoral degree,Software Engineer,5-10 years,4-5 years,4,,
25-29,25,Master's degree,Other,< 1 years,I do not use machine learning methods,0,,
25-29,25,Some college/university study without earning a bachelor's degree,Software Engineer,3-5 years,I do not use machine learning methods,0,,
25-29,25,Bachelor's degree,Currently not employed,1-2 years,Under 1 year,0.7,,
25-29,25,Doctoral degree,Student,< 1 years,Under 1 year,0.1,,
25-29,25,Doctoral degree,Student,5-10 years,Under 1 year,0.6,,
25-29,25,Master's degree,Currently not employed,1-2 years,Under 1 year,0.9,,
25-29,25,Master's degree,Student,5-10 years,Under 1 year,0.9,,
25-29,25,Master's degree,Student,< 1 years,Under 1 year,0.4,,
25-29,25,Master's degree,Student,3-5 years,Under 1 year,0.7,,
25-29,25,Master's degree,Student,3-5 years,Under 1 year,0.3,,
25-29,25,Master's degree,Student,1-2 years,Under 1 year,0.1,,
25-29,25,Master's degree,Currently not employed,1-2 years,Under 1 year,0.3,,
25-29,25,Some college/university study without earning a bachelor's degree,Student,< 1 years,Under 1 year,0.5,,
25-29,25,Some college/university study without earning a bachelor's degree,Currently not employed,5-10 years,Under 1 year,0.2,,
25-29,25,Bachelor's degree,Business Analyst,< 1 years,,,,
25-29,25,Bachelor's degree,Currently not employed,I have never written code,,,,
25-29,25,Bachelor's degree,Other,< 1 years,,,,
25-29,25,Bachelor's degree,Other,< 1 years,,,,
25-29,25,Master's degree,Other,3-5 years,,,,
25-29,25,No formal education past high school,Currently not employed,I have never written code,,,,
25-29,25,Some college/university study without earning a bachelor's degree,Other,< 1 years,,,,
25-29,26,Bachelor's degree,Other,1-2 years,1-2 years,2,,
25-29,26,Master's degree,Student,5-10 years,1-2 years,1,,
25-29,26,Master's degree,Student,1-2 years,1-2 years,2,,
25-29,26,Master's degree,Student,3-5 years,1-2 years,2,,
25-29,26,Master's degree,Student,5-10 years,1-2 years,1,,
25-29,26,Master's degree,Student,1-2 years,1-2 years,2,,
25-29,26,Master's degree,Student,5-10 years,1-2 years,2,,
25-29,26,Some college/university study without earning a bachelor's degree,Student,3-5 years,1-2 years,2,,
